GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Speed (OBD)(mph),Engine RPM(rpm),Trip Distance(miles),Throttle Position(Manifold)(%)
Fri Feb 19 17:57:39 EST 2016,2/19/2016 17:57:39,-75.74405167,39.6270352,20.25,3,-10.19999981,182.1,-1.4173675,11.645397,1.2258313,0.052786272,44.11735588,1860.75,2.649408875,20.3921566
Fri Feb 19 17:57:39 EST 2016,2/19/2016 17:57:39,-75.74405167,39.6270352,20.25,3,-10.19999981,182.1,-1.532289,9.998186,1.0726024,0.044057667,44.11735588,1950,2.649408875,20.3921566
Fri Feb 19 17:57:39 EST 2016,2/19/2016 17:57:39,-75.74405167,39.6270352,20.25,3,-10.19999981,182.1,-0.5363012,9.461885,0.6895301,0.03619668,44.11735588,1950,2.652092696,21.56862831
Fri Feb 19 17:57:39 EST 2016,2/19/2016 17:57:40,-75.74405167,39.6270352,20.25,3,-10.19999981,182.1,-1.1109096,9.80665,1.5705963,0.03771168,44.11735588,1977.25,2.652092696,21.56862831
Fri Feb 19 17:57:39 EST 2016,2/19/2016 17:57:40,-75.74405167,39.6270352,20.25,3,-10.19999981,182.1,-1.2641385,11.33894,1.532289,0.063841976,44.11735588,1977.25,2.65487459,22.74509811
Fri Feb 19 17:57:40 EST 2016,2/19/2016 17:57:40,-75.74406255,39.62685605,20,3,-10.69999981,182.1,-1.1492168,10.304645,0.9576807,0.06274337,44.11735588,2062.5,2.65487459,22.74509811
Fri Feb 19 17:57:40 EST 2016,2/19/2016 17:57:40,-75.74406255,39.62685605,20,3,-10.69999981,182.1,-0.8810662,9.232041,1.0726024,-0.029337525,44.11735588,2062.5,2.657337673,23.13725471
Fri Feb 19 17:57:40 EST 2016,2/19/2016 17:57:40,-75.74406255,39.62685605,20,3,-10.69999981,182.1,-0.91937345,9.653421,1.2641385,0.01585555,44.11735588,2037.5,2.657337673,23.13725471
Fri Feb 19 17:57:40 EST 2016,2/19/2016 17:57:40,-75.74406255,39.62685605,20,3,-10.69999981,182.1,-1.532289,10.036493,1.4556746,0.059712987,44.11735588,2037.5,2.659629202,25.09803963
Fri Feb 19 17:57:40 EST 2016,2/19/2016 17:57:40,-75.74406255,39.62685605,20,3,-10.69999981,182.1,-0.91937345,9.232041,0.38307226,0.049043816,44.11735588,2027.25,2.659629202,25.09803963
Fri Feb 19 17:57:40 EST 2016,2/19/2016 17:57:40,-75.74406255,39.62685605,20,3,-10.69999981,182.1,-0.4213795,9.11712,0.80445176,-0.047030985,44.11735588,2027.25,2.662129321,25.88235283
Fri Feb 19 17:57:40 EST 2016,2/19/2016 17:57:40,-75.74406255,39.62685605,20,3,-10.69999981,182.1,-0.45968673,9.615114,1.0726024,0.058951814,44.11735588,1998.25,2.662129321,25.88235283
Fri Feb 19 17:57:40 EST 2016,2/19/2016 17:57:40,-75.74406255,39.62685605,20,3,-10.69999981,182.1,-0.9959879,9.576807,0.61291564,0.033565618,44.11735588,1998.25,2.664396554,25.88235283
Fri Feb 19 17:57:40 EST 2016,2/19/2016 17:57:41,-75.74406255,39.62685605,20,3,-10.69999981,182.1,-0.5363012,9.998186,0.9576807,0.03513808,44.11735588,1971.75,2.666577863,25.88235283
Fri Feb 19 17:57:40 EST 2016,2/19/2016 17:57:41,-75.74406255,39.62685605,20,3,-10.69999981,182.1,-0.45968673,9.423578,0.5746084,-0.017466426,44.11735588,1971.75,2.666577863,25.49019623
Fri Feb 19 17:57:40 EST 2016,2/19/2016 17:57:41,-75.74406255,39.62685605,20,3,-10.69999981,182.1,-0.49799395,10.189722,1.340753,0.05255075,44.11735588,1929.5,2.668795911,25.49019623
Fri Feb 19 17:57:40 EST 2016,2/19/2016 17:57:41,-75.74406255,39.62685605,20,3,-10.69999981,182.1,-0.6512229,10.457873,1.0342951,0.059578042,44.11735588,1929.5,2.668795911,24.70588303
Fri Feb 19 17:57:41 EST 2016,2/19/2016 17:57:41,-75.74407042,39.62667454,20.25,3,-10.80000019,182.2,-0.61291564,9.576807,0.80445176,6.57E-04,44.11735588,1871,2.671038552,24.70588303
Fri Feb 19 17:57:41 EST 2016,2/19/2016 17:57:41,-75.74407042,39.62667454,20.25,3,-10.80000019,182.2,-1.4173675,11.032481,1.4173675,0.04175514,44.11735588,1871,2.671038552,20.3921566
Fri Feb 19 17:57:41 EST 2016,2/19/2016 17:57:41,-75.74407042,39.62667454,20.25,3,-10.80000019,182.2,-1.3790601,10.228029,1.3790601,0.050173637,44.11735588,1870.25,2.673305785,20.3921566
Fri Feb 19 17:57:41 EST 2016,2/19/2016 17:57:41,-75.74407042,39.62667454,20.25,3,-10.80000019,182.2,-0.9576807,9.691729,1.2258313,0.040190425,44.11735588,1878,2.673305785,20.3921566
Fri Feb 19 17:57:41 EST 2016,2/19/2016 17:57:41,-75.74407042,39.62667454,20.25,3,-10.80000019,182.2,-0.8810662,9.730036,1.9153614,0.033865035,44.11735588,1878,2.675499538,23.92156982
Fri Feb 19 17:57:41 EST 2016,2/19/2016 17:57:41,-75.74407042,39.62667454,20.25,3,-10.80000019,182.2,-0.19153613,9.80665,1.1492168,0.0560684,44.11735588,1886.5,2.675499538,23.92156982
Fri Feb 19 17:57:41 EST 2016,2/19/2016 17:57:41,-75.74407042,39.62667454,20.25,3,-10.80000019,182.2,-1.2641385,9.80665,0.9576807,0.045037515,44.11735588,1886.5,2.677680846,27.45098114
Fri Feb 19 17:57:41 EST 2016,2/19/2016 17:57:42,-75.74407042,39.62667454,20.25,3,-10.80000019,182.2,-0.7278373,9.500193,0.91937345,-0.0052318573,44.11735588,1896,2.677680846,27.45098114
Fri Feb 19 17:57:41 EST 2016,2/19/2016 17:57:42,-75.74407042,39.62667454,20.25,3,-10.80000019,182.2,-0.22984336,9.768343,0.5363012,0.016528368,45.3600983,1896,2.680278149,29.01960754
Fri Feb 19 17:57:41 EST 2016,2/19/2016 17:57:42,-75.74407042,39.62667454,20.25,3,-10.80000019,182.2,-0.842759,9.232041,1.2258313,0.032380316,45.3600983,1907.75,2.680278149,29.01960754
Fri Feb 19 17:57:42 EST 2016,2/19/2016 17:57:42,-75.74408159,39.6264847,20.75,3,-11.10000038,182.1,-0.38307226,9.921572,0.34476504,0.042216096,45.3600983,1907.75,2.6825839,29.01960754
Fri Feb 19 17:57:42 EST 2016,2/19/2016 17:57:42,-75.74408159,39.6264847,20.75,3,-11.10000038,182.1,-0.38307226,10.342952,0.842759,0.07754201,45.3600983,1912.5,2.6825839,29.01960754
Fri Feb 19 17:57:42 EST 2016,2/19/2016 17:57:42,-75.74408159,39.6264847,20.75,3,-11.10000038,182.1,-1.1492168,9.385271,0.9959879,0.04660345,46.60284072,1912.5,2.685214981,28.62745094
Fri Feb 19 17:57:42 EST 2016,2/19/2016 17:57:42,-75.74408159,39.6264847,20.75,3,-11.10000038,182.1,-1.0726024,10.726024,0.6512229,0.03678387,46.60284072,1925.75,2.687571102,28.62745094
Fri Feb 19 17:57:42 EST 2016,2/19/2016 17:57:42,-75.74408159,39.6264847,20.75,3,-11.10000038,182.1,-1.8387469,10.534488,1.4556746,0.03554277,46.60284072,1925.75,2.687571102,28.62745094
Fri Feb 19 17:57:42 EST 2016,2/19/2016 17:57:42,-75.74408159,39.6264847,20.75,3,-11.10000038,182.1,-0.9576807,9.500193,0.9576807,-0.0027893186,46.60284072,1937.5,2.689875372,28.62745094
Fri Feb 19 17:57:42 EST 2016,2/19/2016 17:57:43,-75.74408159,39.6264847,20.75,3,-11.10000038,182.1,-0.7661445,10.304645,0.842759,0.03877142,46.60284072,1937.5,2.689875372,28.23529434
Fri Feb 19 17:57:42 EST 2016,2/19/2016 17:57:43,-75.74408159,39.6264847,20.75,3,-11.10000038,182.1,-0.9576807,9.691729,1.0726024,0.03620031,46.60284072,1938.25,2.692283048,28.23529434
